country,purchasing_power_parity,foreign_exchangegold,defense_budget,external_debt,square_land_area,coastline_coverage,shared_borders,waterways_usable,total_population,available_manpower,fitforservice,reaching_mil_age_annually,active_personnel,reserve_personnel,paramilitary,air_force_personnel,army_personnel,navy_personnel,yearly_mobilization_potential,aircraft_total,fighters,attack_types,transports_fixedwing,trainers,specialmission,tanker_fleet,helicopters,attack_helicopters,tanks,vehicles,selfpropelled_artillery,towed_artillery,mlrs_rocket_artillery,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,oil_production,oil_consumption,oil_deficit,oil_proven_reserves,natural_gas_production,natural_gas_consumption,natural_gas_deficit,natgas_proven_rez,coal_production,coal_consumption,coal_deficit,coal_proven_reserves,internet_coverage,labor_force,merchant_marine_fleet,ports__trade_terminals,airports,roadway_coverage,railway_coverage,pwr_index
Colombia,"$978,024,000,000 USD","$61,898,000,000 USD","$15,800,000,000 USD","$108,027,000,000 USD","1,138,910 km","3,208 km","6,672 km","24,725 km","49,588,357","24,298,295","19,190,694","843,002","429,000","998,000","150,000","25,000","2,048,583","35,100","832,360","Stock: 430			
Readiness: 280*","Stock: 16 (3.7%)

Readiness: 10*","Stock: 24 (5.6%)

Readiness: 16*","Stock: 82 (19.1%)

Readiness: 53*","Stock: 72 (16.7%)

Readiness: 47*","Stock: 27 (6.3%)

Readiness: 18*","Stock: 1 (0.2%)

Readiness: 1*","Stock: 255 (59.3%)

Readiness: 166*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 12,780            	
Readiness: 8,307*","Stock: 6				
Readiness: 4*","Stock: 110				
Readiness: 72*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,9.0,2.0,4.0,158.0,0.0,"800,000 bbl","374,000 bbl","+426,000 bbl","2,036,000,000 bbl","11,290,000,000 cu.m","11,451,000,000 cu.m","-161,000,000 cu.m","87,782,000,000 cu.m","52,376,000 mt","9,720,000 mt","+42,656,000 mt","4,554,000,000 mt",77.0%,"26,822,000",153,14,661,"206,102 km","2,141 km",0.7551
Iraq,"$585,887,000,000 USD","$100,691,000,000 USD","$8,000,000,000 USD","$15,580,000,000 USD","438,317 km",58 km,"3,809 km","5,279 km","42,083,436","17,675,043","14,308,368","715,418","193,000",0,"100,000","5,000","180,000","3,000","706,386","Stock: 360			
Readiness: 216*","Stock: 26 (7.2%)

Readiness: 16*","Stock: 36 (10.0%)

Readiness: 22*","Stock: 15 (4.2%)

Readiness: 9*","Stock: 111 (30.8%)

Readiness: 67*","Stock: 17 (4.7%)

Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 183 (50.8%)

Readiness: 110*","Stock: 39 (10.8%)

Readiness: 23*","Stock: 1,188				
Readiness: 713*","Stock: 37,496            	
Readiness: 22,498*","Stock: 434				
Readiness: 260*","Stock: 610				
Readiness: 366*","Stock: 572				
Readiness: 343*",0.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,"4,448,000 bbl","1,043,000 bbl","+3,405,000 bbl","145,019,000,000 bbl","9,860,000,000 cu.m","19,298,000,000 cu.m","-9,438,000,000 cu.m","3,729,000,000,000 cu.m",0 mt,0 mt,0 mt,0 mt,82.0%,"12,008,000",74,6,73,"59,623 km","2,272 km",0.8115
Denmark,"$440,558,000,000 USD","$108,405,000,000 USD","$14,250,000,000 USD","$611,050,000,000 USD","43,094 km","7,314 km",140 km,400 km,"5,973,136","2,628,180","2,126,436","77,651","21,000","12,000","51,000","3,475","88,400","3,600","76,671","Stock: 122			
Readiness: 98*","Stock: 26 (21.3%)

Readiness: 21*","Stock: 19 (15.6%)

Readiness: 15*","Stock: 4 (3.3%)

Readiness: 3*","Stock: 36 (29.5%)

Readiness: 29*","Stock: 3 (2.5%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 34 (27.9%)

Readiness: 27*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 44				
Readiness: 33*","Stock: 5,930            	
Readiness: 4,448*","Stock: 19				
Readiness: 14*","Stock: 0				
Readiness: 0*","Stock: 8				
Readiness: 6*",0.0,0.0,0.0,9.0,0.0,0.0,9.0,6.0,"63,000 bbl","151,000 bbl","-88,000 bbl","441,000,000 bbl","1,879,000,000 cu.m","2,208,000,000 cu.m","-329,000,000 cu.m","29,534,000,000 cu.m",0 mt,"1,135,000 mt","-1,135,000 mt",0 mt,100.0%,"3,210,000",715,69,102,"73,591 km","2,682 km",0.8198
Switzerland,"$741,035,000,000 USD","$909,366,000,000 USD","$8,372,658,426 USD","$2,420,000,000,000 USD","41,277 km",LANDLOCKED,"1,770 km","1,292 km","8,860,574","3,898,653","3,163,225","97,466","147,178",0,"5,000","20,000","127,178",0,"96,236","Stock: 141			
Readiness: 99*","Stock: 40 (28.4%)

Readiness: 28*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 16 (11.3%)

Readiness: 11*","Stock: 43 (30.5%)

Readiness: 30*","Stock: 3 (2.1%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 39 (27.7%)

Readiness: 27*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 134				
Readiness: 94*","Stock: 6,885            	
Readiness: 4,820*","Stock: 133				
Readiness: 93*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",,,,,,,,,300 bbl,"194,000 bbl","-193,700 bbl",0 bbl,0 cu.m,"3,138,000,000 cu.m","-3,138,000,000 cu.m",0 cu.m,0 mt,"126,000 mt","-126,000 mt",0 mt,97.0%,"5,153,000",17,0,66,"83,131 km","5,296 km",0.8396
Ethiopia,"$380,895,000,000 USD","$3,784,000,000 USD","$3,720,968,976 USD","$25,426,000,000 USD","1,104,300 km",LANDLOCKED,"5,925 km",0 km,"118,550,298","56,904,143","35,327,989","2,726,657","503,000","138,000",0,"5,000","626,000","11,500","2,692,235","Stock: 104			
Readiness: 62*","Stock: 25 (24.0%)

Readiness: 15*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 9 (8.7%)

Readiness: 5*","Stock: 34 (32.7%)

Readiness: 20*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 33 (31.7%)

Readiness: 20*","Stock: 7 (6.7%)

Readiness: 4*","Stock: 338				
Readiness: 220*","Stock: 8,586            	
Readiness: 5,581*","Stock: 142				
Readiness: 92*","Stock: 469				
Readiness: 305*","Stock: 79				
Readiness: 51*",,,,,,,,,0 bbl,"102,000 bbl","-102,000 bbl","428,000 bbl",0 cu.m,0 cu.m,0 cu.m,"24,919,000,000 cu.m","456,000 mt","1,653,000 mt","-1,197,000 mt",0 mt,17.0%,"54,470,000",12,0,58,"180,000 km",659 km,0.8525
Finland,"$313,591,000,000 USD","$17,993,000,000 USD","$8,890,000,000 USD","$726,000,000,000 USD","338,145 km","1,250 km","2,563 km","8,000 km","5,626,414","2,306,830","1,912,981","56,264","24,000","870,000","53,800","41,100","42,000","6,700","55,554","Stock: 162			
Readiness: 122*","Stock: 53 (32.7%)

Readiness: 40*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 11 (6.8%)

Readiness: 8*","Stock: 77 (47.5%)

Readiness: 58*","Stock: 1 (0.6%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 27 (16.7%)

Readiness: 20*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 200				
Readiness: 150*","Stock: 14,866            	
Readiness: 11,150*","Stock: 125				
Readiness: 94*","Stock: 667				
Readiness: 500*","Stock: 76				
Readiness: 57*",0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,"8,000 bbl","175,000 bbl","-167,000 bbl",0 bbl,0 cu.m,"1,157,000,000 cu.m","-1,157,000,000 cu.m",0 cu.m,"811,000 mt","3,933,000 mt","-3,122,000 mt",0 mt,94.0%,"2,898,000",282,37,98,"108,637 km","5,918 km",0.8673
Chile,"$596,556,000,000 USD","$44,403,000,000 USD","$6,800,000,000 USD","$235,950,000,000 USD","756,102 km","6,435 km","7,801 km","12,290 km","18,664,652","8,959,033","7,521,855","298,634","80,000","40,000","50,000","7,645","80,000","25,000","294,864","Stock: 274			
Readiness: 178*","Stock: 45 (16.4%)

Readiness: 29*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 33 (12.0%)

Readiness: 21*","Stock: 92 (33.6%)

Readiness: 60*","Stock: 18 (6.6%)

Readiness: 12*","Stock: 5 (1.8%)

Readiness: 3*","Stock: 86 (31.4%)

Readiness: 56*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 386				
Readiness: 251*","Stock: 7,480            	
Readiness: 4,862*","Stock: 48				
Readiness: 31*","Stock: 249				
Readiness: 162*","Stock: 9				
Readiness: 6*",0.0,0.0,0.0,8.0,0.0,4.0,40.0,0.0,"11,000 bbl","404,000 bbl","-393,000 bbl","150,000,000 bbl","1,200,000,000 cu.m","6,916,000,000 cu.m","-5,716,000,000 cu.m","97,976,000,000 cu.m","474,000 mt","8,087,000 mt","-7,613,000 mt","1,181,000,000 mt",95.0%,"10,088,000",249,39,379,"77,801 km","7,282 km",0.8704
Peru,"$535,911,000,000 USD","$79,246,000,000 USD","$2,552,000,000 USD","$38,102,000,000 USD","1,285,216 km","2,414 km","7,062 km","8,808 km","32,600,249","15,648,120","12,681,497","619,405","120,000","386,000","60,000","12,100","92,500","26,000","611,585","Stock: 252			
Readiness: 139*","Stock: 15 (6.0%)

Readiness: 8*","Stock: 22 (8.7%)

Readiness: 12*","Stock: 39 (15.5%)

Readiness: 21*","Stock: 68 (27.0%)

Readiness: 37*","Stock: 12 (4.8%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 112 (44.4%)

Readiness: 62*","Stock: 16 (6.3%)

Readiness: 9*","Stock: 355				
Readiness: 231*","Stock: 9,168            	
Readiness: 5,959*","Stock: 12				
Readiness: 8*","Stock: 290				
Readiness: 189*","Stock: 61				
Readiness: 40*",0.0,0.0,0.0,7.0,8.0,6.0,13.0,0.0,"118,000 bbl","255,000 bbl","-137,000 bbl","858,890,000 bbl","12,270,000,000 cu.m","7,185,000,000 cu.m","+5,085,000,000 cu.m","300,159,000,000 cu.m","1,382,000 mt","973,000 mt","+409,000 mt","1,567,000,000 mt",80.0%,"18,918,000",111,20,174,"70,000 km","1,855 km",0.8827
Venezuela,"$110,943,000,000 USD","$9,944,750,000 USD","$6,060,000,000 USD","$121,363,000,000 USD","912,050 km","2,800 km","5,267 km","7,100 km","31,250,306","15,625,153","12,812,625","625,006","109,000","8,000","220,000","10,755","300,745","25,500","617,116","Stock: 224			
Readiness: 123*","Stock: 30 (13.4%)

Readiness: 17*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 47 (21.0%)

Readiness: 26*","Stock: 75 (33.5%)

Readiness: 41*","Stock: 3 (1.3%)

Readiness: 2*","Stock: 1 (0.4%)

Readiness: 1*","Stock: 85 (37.9%)

Readiness: 47*","Stock: 10 (4.5%)

Readiness: 6*","Stock: 282				
Readiness: 169*","Stock: 15,168            	
Readiness: 9,101*","Stock: 60				
Readiness: 36*","Stock: 92				
Readiness: 55*","Stock: 56				
Readiness: 34*",0.0,0.0,0.0,1.0,0.0,3.0,26.0,0.0,"801,000 bbl","203,000 bbl","+598,000 bbl","303,806,000,000 bbl","17,696,000,000 cu.m","17,696,000,000 cu.m",0 cu.m,"5,674,000,000,000 cu.m","149,000 mt","80,000 mt","+69,000 mt","730,999,000 mt",62.0%,"11,136,000",272,31,509,"96,189 km",447 km,0.9106
Romania,"$774,376,000,000 USD","$73,391,000,000 USD","$10,230,630,000 USD","$145,200,000,000 USD","238,391 km",225 km,"2,844 km","1,731 km","18,148,155","9,437,041","7,731,114","199,630","90,000","55,000","15,000","11,700","39,250","6,800","197,110","Stock: 148			
Readiness: 89*","Stock: 29 (19.6%)

Readiness: 17*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 13 (8.8%)

Readiness: 8*","Stock: 44 (29.7%)

Readiness: 26*","Stock: 2 (1.4%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 66 (44.6%)

Readiness: 40*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 451				
Readiness: 271*","Stock: 13,266            	
Readiness: 7,960*","Stock: 0				
Readiness: 0*","Stock: 720				
Readiness: 432*","Stock: 243				
Readiness: 146*",0.0,0.0,0.0,3.0,7.0,0.0,0.0,7.0,"67,000 bbl","220,000 bbl","-153,000 bbl","600,000,000 bbl","9,501,000,000 cu.m","10,055,000,000 cu.m","-554,000,000 cu.m","105,480,000,000 cu.m","14,752,000 mt","15,533,000 mt","-781,000 mt","291,000,000 mt",89.0%,"8,263,000",127,11,103,"85,387 km","10,628 km",0.9558
Uzbekistan,"$379,989,000,000 USD","$41,237,000,000 USD","$6,210,000,000 USD","$25,714,000,000 USD","447,400 km",420 km,"6,893 km","1,100 km","36,520,593","18,990,708","15,959,499","730,412","120,000",0,"20,000","15,000","95,000",550,"721,191","Stock: 159			
Readiness: 87*","Stock: 26 (16.4%)

Readiness: 14*","Stock: 13 (8.2%)

Readiness: 7*","Stock: 12 (7.5%)

Readiness: 7*","Stock: 7 (4.4%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 101 (63.5%)

Readiness: 56*","Stock: 34 (21.4%)

Readiness: 19*","Stock: 470				
Readiness: 259*","Stock: 8,692            	
Readiness: 4,781*","Stock: 177				
Readiness: 97*","Stock: 236				
Readiness: 130*","Stock: 108				
Readiness: 59*",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"64,000 bbl","111,000 bbl","-47,000 bbl","594,000,000 bbl","47,500,000,000 cu.m","43,227,000,000 cu.m","+4,273,000,000 cu.m","1,841,000,000,000 cu.m","6,379,000 mt","8,941,000 mt","-2,562,000 mt","1,375,000,000 mt",89.0%,"13,974,000",0,0,74,"225,500 km","4,642 km",0.9908
United Arab Emirates,"$745,994,000,000 USD","$237,931,000,000 USD","$23,480,000,000 USD","$290,400,000,000 USD","83,600 km","1,318 km","1,066 km",0 km,"10,032,213","5,818,684","4,945,881","80,258","65,000","130,000","12,000","7,000","44,000","3,000","79,245","Stock: 581			
Readiness: 349*","Stock: 99 (17.0%)

Readiness: 59*","Stock: 40 (6.9%)

Readiness: 24*","Stock: 35 (6.0%)

Readiness: 21*","Stock: 151 (26.0%)

Readiness: 91*","Stock: 27 (4.6%)

Readiness: 16*","Stock: 5 (0.9%)

Readiness: 3*","Stock: 250 (43.0%)

Readiness: 150*","Stock: 30 (5.2%)

Readiness: 18*","Stock: 354				
Readiness: 212*","Stock: 8,982            	
Readiness: 5,389*","Stock: 165				
Readiness: 99*","Stock: 99				
Readiness: 59*","Stock: 49				
Readiness: 29*",0.0,0.0,0.0,0.0,11.0,0.0,34.0,2.0,"4,146,000 bbl","846,000 bbl","+3,300,000 bbl","97,800,000,000 bbl","56,683,000,000 cu.m","66,091,000,000 cu.m","-9,408,000,000 cu.m","6,091,000,000 cu.m",0 mt,"5,411,000 mt","-5,411,000 mt",0 mt,100.0%,"7,090,000",655,20,42,"4,080 km",0 km,1.0188
Czechia,"$521,928,000,000 USD","$146,281,000,000 USD","$9,174,000,000 USD","$232,320,000,000 USD","78,867 km",LANDLOCKED,"2,046 km",664 km,"10,837,890","5,093,808","4,129,236","97,541","30,334","4,900",0,"3,120","13,000",0,"96,310","Stock: 103			
Readiness: 77*","Stock: 12 (11.7%)

Readiness: 9*","Stock: 16 (15.5%)

Readiness: 12*","Stock: 10 (9.7%)

Readiness: 8*","Stock: 21 (20.4%)

Readiness: 16*","Stock: 2 (1.9%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 42 (40.8%)

Readiness: 32*","Stock: 4 (3.9%)

Readiness: 3*","Stock: 20				
Readiness: 14*","Stock: 6,275            	
Readiness: 4,393*","Stock: 53				
Readiness: 37*","Stock: 0				
Readiness: 0*","Stock: 16				
Readiness: 11*",,,,,,,,,"4,000 bbl","219,000 bbl","-215,000 bbl","15,000,000 bbl","224,725,000 cu.m","7,602,000,000 cu.m","-7,377,275,000 cu.m","3,964,000,000 cu.m","31,946,000 mt","33,239,000 mt","-1,293,000 mt","3,595,000,000 mt",86.0%,"5,541,000",0,0,252,"129,418 km","9,548 km",1.0313
Morocco,"$350,594,000,000 USD","$37,134,000,000 USD","$16,100,000,000 USD","$42,262,000,000 USD","715,550 km","1,835 km","2,363 km",0 km,"37,387,585","17,946,041","15,254,135","635,589","400,000","250,000","50,000","13,000","500,000","9,300","627,565","Stock: 271			
Readiness: 163*","Stock: 84 (31.0%)

Readiness: 50*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 31 (11.4%)

Readiness: 19*","Stock: 77 (28.4%)

Readiness: 46*","Stock: 4 (1.5%)

Readiness: 2*","Stock: 2 (0.7%)

Readiness: 1*","Stock: 73 (26.9%)

Readiness: 44*","Stock: 6 (2.2%)

Readiness: 4*","Stock: 1,346				
Readiness: 808*","Stock: 17,594            	
Readiness: 10,556*","Stock: 544				
Readiness: 326*","Stock: 188				
Readiness: 113*","Stock: 185				
Readiness: 111*",0.0,0.0,0.0,6.0,1.0,0.0,84.0,0.0,25 bbl,"296,000 bbl","-295,975 bbl","684,000 bbl","82,595,000 cu.m","243,201,000 cu.m","-160,606,000 cu.m","1,444,000,000 cu.m",0 mt,"10,304,000 mt","-10,304,000 mt","96,000,000 mt",91.0%,"12,475,000",94,12,48,"57,300 km","2,067 km",1.0368
Hungary,"$389,207,000,000 USD","$46,422,000,000 USD","$5,887,250,000 USD","$151,250,000,000 USD","103,000 km",LANDLOCKED,"2,106 km","1,622 km","9,855,745","4,632,200","3,794,462","118,269","41,600","20,000","15,000","5,750","32,000",0,"116,776","Stock: 80			
Readiness: 52*","Stock: 12 (15.0%)

Readiness: 8*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (3.8%)

Readiness: 2*","Stock: 17 (21.3%)

Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 50 (62.5%)

Readiness: 33*","Stock: 8 (10.0%)

Readiness: 5*","Stock: 220				
Readiness: 154*","Stock: 11,502            	
Readiness: 8,051*","Stock: 24				
Readiness: 17*","Stock: 295				
Readiness: 207*","Stock: 0				
Readiness: 0*",,,,,,,,,"36,000 bbl","179,000 bbl","-143,000 bbl","12,100,000 bbl","1,523,000,000 cu.m","9,485,000,000 cu.m","-7,962,000,000 cu.m","3,738,000,000 cu.m","4,293,000 mt","4,694,000 mt","-401,000 mt","2,633,000,000 mt",92.0%,"4,954,000",1,0,109,"203,601 km","7,687 km",1.0429
Kazakhstan,"$739,385,000,000 USD","$45,808,000,000 USD","$5,836,386,000 USD","$25,765,000,000 USD","2,724,900 km",26 km,"13,364 km","43,983 km","20,260,006","9,117,003","6,928,922","283,640","110,000","135,000","55,000","12,000","80,000","3,000","280,059","Stock: 168			
Readiness: 101*","Stock: 37 (22.0%)

Readiness: 22*","Stock: 13 (7.7%)

Readiness: 8*","Stock: 21 (12.5%)

Readiness: 13*","Stock: 25 (14.9%)

Readiness: 15*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 72 (42.9%)

Readiness: 43*","Stock: 12 (7.1%)

Readiness: 7*","Stock: 353				
Readiness: 212*","Stock: 17,460            	
Readiness: 10,476*","Stock: 126				
Readiness: 76*","Stock: 194				
Readiness: 116*","Stock: 287				
Readiness: 172*",0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,"1,955,000 bbl","386,000 bbl","+1,569,000 bbl","30,000,000,000 bbl","27,011,000,000 cu.m","22,623,000,000 cu.m","+4,388,000,000 cu.m","2,407,000,000,000 cu.m","120,279,000 mt","86,349,000 mt","+33,930,000 mt","25,605,000,000 mt",93.0%,"10,285,000",122,0,132,"96,167 km","16,636 km",1.0433
Angola,"$278,239,000,000 USD","$14,243,000,000 USD","$31,200,000,000 USD","$45,299,000,000 USD","1,246,700 km","1,600 km","5,369 km","1,300 km","37,202,061","7,440,412","3,720,206","372,021","107,000",0,"10,000","6,000","100,000","1,500","367,324","Stock: 278			
Readiness: 153*","Stock: 67 (24.1%)

Readiness: 37*","Stock: 6 (2.2%)

Readiness: 3*","Stock: 32 (11.5%)

Readiness: 18*","Stock: 56 (20.1%)

Readiness: 31*","Stock: 2 (0.7%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 115 (41.4%)

Readiness: 63*","Stock: 14 (5.0%)

Readiness: 8*","Stock: 319				
Readiness: 191*","Stock: 2,258            	
Readiness: 1,355*","Stock: 25				
Readiness: 15*","Stock: 575				
Readiness: 345*","Stock: 116				
Readiness: 70*",0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,"1,175,000 bbl","121,000 bbl","+1,054,000 bbl","7,783,000,000 bbl","5,514,000,000 cu.m","1,397,000,000 cu.m","+4,117,000,000 cu.m","343,002,000,000 cu.m",0 mt,0 mt,0 mt,0 mt,45.0%,"15,961,000",64,21,107,"76,000 km","2,761 km",1.1045
Azerbaijan,"$225,198,000,000 USD","$12,699,000,000 USD","$5,100,000,000 USD","$12,378,000,000 USD","86,600 km",713 km,"2,468 km",0 km,"10,650,239","5,218,617","3,908,638","159,754","128,000","306,000","15,000","15,000","110,000","3,000","157,737","Stock: 159			
Readiness: 87*","Stock: 12 (7.5%)

Readiness: 7*","Stock: 20 (12.6%)

Readiness: 11*","Stock: 4 (2.5%)

Readiness: 2*","Stock: 36 (22.6%)

Readiness: 20*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 87 (54.7%)

Readiness: 48*","Stock: 16 (10.1%)

Readiness: 9*","Stock: 1,354				
Readiness: 880*","Stock: 14,448            	
Readiness: 9,391*","Stock: 135				
Readiness: 88*","Stock: 651				
Readiness: 423*","Stock: 696				
Readiness: 452*",0.0,0.0,0.0,0.0,0.0,4.0,17.0,4.0,"618,000 bbl","109,000 bbl","+509,000 bbl","7,000,000,000 bbl","34,175,000,000 cu.m","11,759,000,000 cu.m","+22,416,000,000 cu.m","1,699,000,000,000 cu.m",0 mt,"6,000 mt","-6,000 mt",0 mt,89.0%,"5,020,000",312,0,32,"24,981 km","2,944 km",1.1991
Belgium,"$749,229,000,000 USD","$41,449,000,000 USD","$14,900,000,000 USD","$1,594,190,730,000 USD","30,528 km",67 km,"1,297 km","2,043 km","11,977,634","4,910,830","3,880,753","119,776","26,390","6,600",0,"5,700","11,547","1,355","118,264","Stock: 104			
Readiness: 73*","Stock: 44 (42.3%)

Readiness: 31*","Stock: 12 (11.5%)

Readiness: 8*","Stock: 7 (6.7%)

Readiness: 5*","Stock: 27 (26.0%)

Readiness: 19*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 14 (13.5%)

Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 3,588            	
Readiness: 2,691*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*",0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,"11,000 bbl","596,000 bbl","-585,000 bbl",0 bbl,"13,436,000 cu.m","15,347,000,000 cu.m","-15,333,564,000 cu.m",0 cu.m,"1,269,000 mt","4,372,000 mt","-3,103,000 mt","4,100,000,000 mt",95.0%,"5,416,000",198,7,48,"118,414 km","3,602 km",1.2201
Bulgaria,"$219,645,000,000 USD","$43,698,000,000 USD","$2,485,350,000 USD","$14,277,000,000 USD","110,880 km",354 km,"1,806 km",470 km,"6,782,659","3,187,850","2,611,324","61,044","36,950","3,000",0,"8,500","39,950","4,450","60,273","Stock: 71			
Readiness: 46*","Stock: 11 (15.5%)

Readiness: 7*","Stock: 5 (7.0%)

Readiness: 3*","Stock: 6 (8.5%)

Readiness: 4*","Stock: 26 (36.6%)

Readiness: 17*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 23 (32.4%)

Readiness: 15*","Stock: 4 (5.6%)

Readiness: 3*","Stock: 334				
Readiness: 217*","Stock: 6,724            	
Readiness: 4,371*","Stock: 48				
Readiness: 31*","Stock: 24				
Readiness: 16*","Stock: 24				
Readiness: 16*",0.0,0.0,0.0,6.0,3.0,0.0,0.0,17.0,"4,000 bbl","101,000 bbl","-97,000 bbl","15,000,000 bbl","20,837,000 cu.m","2,801,000,000 cu.m","-2,780,163,000 cu.m","5,663,000,000 cu.m","20,970,000 mt","20,557,000 mt","+413,000 mt","2,174,000,000 mt",80.0%,"3,124,000",78,2,107,"19,512 km","4,029 km",1.2522
Serbia,"$177,093,000,000 USD","$30,484,000,000 USD","$2,770,000,000 USD","$21,726,000,000 USD","77,474 km",LANDLOCKED,"2,322 km",587 km,"6,652,212","3,259,584","2,574,406","79,827","22,500","2,000","600,000","3,000","13,200",0,"78,819","Stock: 115			
Readiness: 69*","Stock: 11 (9.6%)

Readiness: 7*","Stock: 17 (14.8%)

Readiness: 10*","Stock: 3 (2.6%)

Readiness: 2*","Stock: 33 (28.7%)

Readiness: 20*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 51 (44.3%)

Readiness: 31*","Stock: 4 (3.5%)

Readiness: 2*","Stock: 242				
Readiness: 145*","Stock: 7,190            	
Readiness: 4,314*","Stock: 96				
Readiness: 58*","Stock: 150				
Readiness: 90*","Stock: 73				
Readiness: 44*",,,,,,,,,"13,000 bbl","88,000 bbl","-75,000 bbl","77,500,000 bbl","353,376,000 cu.m","2,939,000,000 cu.m","-2,585,624,000 cu.m","48,139,000,000 cu.m","33,219,000 mt","37,828,000 mt","-4,609,000 mt","7,112,000,000 mt",85.0%,"3,230,000",0,0,46,"45,022 km","3,333 km",1.2938
Democratic Republic of the Congo,"$164,367,000,000 USD","$3,898,125,000 USD","$960,000,000 USD","$7,926,000,000 USD","2,344,858 km",37 km,"10,481 km","15,000 km","115,403,027","39,237,029","31,389,623","2,538,867","166,580","30,800","10,000","2,550","103,000","6,700","2,506,815","Stock: 56			
Readiness: 25*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (10.7%)

Readiness: 3*","Stock: 10 (17.9%)

Readiness: 5*","Stock: 2 (3.6%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 38 (67.9%)

Readiness: 17*","Stock: 9 (16.1%)

Readiness: 4*","Stock: 212				
Readiness: 117*","Stock: 7,164            	
Readiness: 3,940*","Stock: 16				
Readiness: 9*","Stock: 125				
Readiness: 69*","Stock: 81				
Readiness: 45*",0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,"19,000 bbl","35,000 bbl","-16,000 bbl","180,000,000 bbl","380,000 cu.m","380,000 cu.m",0 cu.m,"991,090,000 cu.m",0 mt,"304,000 mt","-304,000 mt","987,999,000 mt",31.0%,"38,546,000",24,3,273,"152,373 km","4,007 km",1.3051
